,x,y,PassiveActive
0,[cls] فردی کتک خورده و خونریزی دارد. پسر او جیغ می‌زند و خدایی را صدا می‌کند. فرد نمی‌داند چه کاری باید انجام دهد. [sep] آدم مار بشه مادر نشه من درکش میکنم تمام این شرایط رو فقط داره بخاطر بچه‌اش تحمل میکنه [sep],empathy,Passive
4,[cls] یک زن و شوهر به نام‌های mohanaaaaaa و سرخانواده‌اش دعوا کردند و در نهایت سرخانواده‌اش mohanaaaaaa را زدند و گوشی او را شکستند. mohanaaaaaa فرار کرد و شکایت کرد، اما در حالی که هیچ کس از سرخانواده‌اش پادرمیونی نکرد، او هنوز هم عاشق شوهرش است. [sep] خداکنه اینطوربشه [sep],question or answer,Passive
6,[cls] صبح پاشیده، غذا درست کرده و کارهای خود را انجام داده بودم که داداشم زنگ زد و پول برای ثبت نام ماشین خواست. من پول نداریم گفتم، اما او نصف مبلغ را پیش پرداخت کرد و وعده گرفت که بعدا پرداخت کنیم. بعد از دعوا با شوهرم، با مشت به من حمله کرد و من از خانه او را بیرون کردم. دلم خیلی پر است و نمی‌دانم چه کاری باید بکنم. [sep] باشوهرم دعوام شدم ای چندشبه خیلی کتکم زد دیشب از خونه انداختم بیرون بچموبهم نداد دلم خونه، چیکارکنم خدا کمکم نمیکنه چرا مگه بامن لج داره [sep],question or answer,Passive
7,[cls] یک زن به دلیل مشکلات خانوادگی و رابطه ناموفق با شوهرش، احساسات منفی دارد و به دنبال کمک می‌گردد. در یک دعوا شدید با خواهر و مادر شوهرش، خانواده او او را ترک کردند و او احساس وابستگی و تنهایی می‌کند. [sep] دقیقا اوایل داستان زندگیت عین منه منم داغونم ۶ سال دوست بودیم ۱۱ ساله ازدواج کردم. اگه مثل من عاشق زندگی باشیو به امید درست شدن بمدنی و پر غم نابودی من که هزار جور مریضی تو تنم افتاد شوهرمم بهتر نشد بدتر شد اگه بچه نداری به هیچ وجه بچه دار نشو [sep],empathy,Passive
9,[cls] یک زوج برای گردش به بیرون رفتند، سپس خانه را تمیز کردند. اما بعد از بازگشت، مرد عصبانی شد و به زن فحش داد. زن نیز به دلیل خبر مرگ دوستش، نتوانست به خوبی کار کند و دعوا شدیدی بین آنها رخ داد. [sep] منم مثل تو. البته جووییدمش [sep],empathy,Passive
12,[cls] فردی خسته از بازی‌های مسخره کودکانه دیگر صبر ندارد و به دلیل یک شوخی لفظی، یک وسیله را به دست فرد دیگری پرت می‌کند که به دست خودش می‌خورد و از درد ضعف می‌کند. او به عصبانیت آشپزخانه را به هم می‌زند و فرزندانش نیز از او فرار می‌کنند. [sep] مام دعوا کردیم ساعت ۳ نصف شب ۲تا گلدون داشتم از پنجره پرت کرد بیرون [sep],question or answer,Passive
14,[cls] دختر دوشش را گرفت و پایین آمد و گریه کرد. پدر به شوهرش گفت که پام درد می‌کند، اما شوهر این را تکذیب کرد. دختر همچنان گریه می‌کرد و پدر ظرف شکسته و کتک خورد. [sep] چقد نفهمه.. بچه چ گناهیی کرده [sep],empathy,Passive
19,[cls] زنی که انگشتش دراومده بود، بچه‌اش را دو روز در خانه نگه داشت و سپس پسرش را فرستاد تا دخترش را بیاورد. او ابتدا این کار را نکرد، اما بعد از یک تماس تلفنی، پسرش با دخترش آمد و بچه را برداشت. در شب، زوجین دعوا کردند و مادر شوهر نیز آمد و پیشنهاد کرد که بچه را به خانه بهزیستی ببرند. [sep] ان شالله که مشکلت ب بهترین وجه حل بشه و زندکیت طعم عشق بگیره [sep],empathy,Passive
21,[cls] شوهر زن به دلیل چیزهای الکی او را توهین کرد و کتکش زد. زن قرص‌های قند و فشار را برای خودش خورد و شماره پلیس را گرفت. او وسایلش را جمع کرد و خانه را ترک کرد. [sep] خاک تو سر همچین شوهرای عوضی لعنتی بیشور حیوان نفهم [sep],empathy,Passive
23,[cls] پدر بابام به شوهرم گفت طلاق بده دخترمو. مهمانان شمالی با عروسشون به خونه شوهرمون اومدن. رابطه خوبی با عروس مهمون داشتم و با اون درباره مشکلاتم حرف زدم. [sep] خیلی سخته امیدوارم خداوند گره زندگیت رو باز کنه [sep],empathy,Passive
24,[cls] شوهر در دعوا صورت همسرش را ضربه می‌زند و او را به زمین می‌اندازد. همچنین قبلا دست همسرش را کبود کرده بود و اینبار با مشت به صورتش حمله کرده است. همسر به او اخطار داده که اگر دوباره این کار را تکرار کند، او را ترک خواهد کرد. [sep] چقدر سخته غریبی حتی نمیتونی با خانوادت دردودل کنی چون بجز غصه خوردن نمیشه کاری کنن [sep],empathy,Passive
26,[cls] بچه‌ها به من کتک زدند، سرم درد می‌کند. من به خانواده‌ی او تبریک عید گفتم، اما او به من فحش داد و کتکم زد. من به طلاق فکر می‌کنم. [sep] من ک سپردم ب خدا انشالله همینجور ک من زده چوب خدا بخوره [sep],empathy,Passive
27,[cls] در یک بحث الکی، شوهر فحش و حتی ضربه به همسرش زد. آنها در طبقه بالای خانه مادرشوهرشان زندگی می‌کنند و اگر مادرشوهرشان نبود، شوهرش او را می‌کشت. همسر داد زد و شوهرش او را ضربه زد. او نمی‌داند چگونه با شوهرش رفتار کند و احساس ناراحتی می‌کند. [sep] اخه با اینکار شوهرش درست میشه؟؟ باید جدی با این اقا برخورد بشه [sep],question or answer,Passive
29,[cls] صبح خوش و خرم بیدار شدیم، شوهرم با بچه‌ها شوخی کرد و من رو نیشکونید. او بعد از من اذیت شد و من داد زدم، سپس او شروع به زدن من کرد. [sep] باغ وحشه [sep],question or answer,Passive
30,[cls] دعوای خانوادگی با شوهر و پدرسوختگی، لگد زدن و معزرت خواهی، بچه‌ها با مادرشان در حال تصمیم گیری برای رفتن به خانه مادربزرگشان هستند. [sep] خوب نیست من که حاضرم کم حرف باشه [sep],empathy,Passive
