,x,y,PassiveActive
0,[cls] فردی کتک خورده و خونریزی دارد. پسر او جیغ می‌زند و خدایی را صدا می‌کند. فرد نمی‌داند چه کاری باید انجام دهد. [sep] آدم مار بشه مادر نشه من درکش میکنم تمام این شرایط رو فقط داره بخاطر بچه‌اش تحمل میکنه [sep],empathy,Passive
1,[cls] شوهرم دیشب به طور ناگهانی من را کتک زد. با قرص خوابی که خورده بودم، ابتدا به خواب رفته بودم. بعد از اعتراض من، او داد و بیداد کرد و من هم سرش داد زدم. اما او با لگد به کمرم زد و من از خودم دفاع کردم. [sep] معذرت میخوام ولی شاید رابطه میخواسته و این موضوع عصبیش کرده. [sep],conform and adjust,Active
2,[cls] شخصی کتک خورده و در اتاق قفل شده است. رمز درب را نمی‌داند و ناراحت است. [sep] زنگ بزن ۱۱۰ بیاد صورت جلسه کنه و نامه بده بری پزشکی قانونی بعد هم شکایت کن پدرشو در بیار [sep],confront and retaliate,Active
3,[cls] فردی با مشکلات خانوادگی دارای همسری خشن است که او را مورد سوء استفاده قرار می‌دهد. او به دنبال کمک برای حل مشکلات خود است. [sep] برو شکایت کن و پزشکی قانونی هم بروتو کیسه بوکس نیستینشستی هی مشت میخورییبار شکایت کن تا ادم بشه [sep],confront and retaliate,Active
4,[cls] یک زن و شوهر به نام‌های mohanaaaaaa و سرخانواده‌اش دعوا کردند و در نهایت سرخانواده‌اش mohanaaaaaa را زدند و گوشی او را شکستند. mohanaaaaaa فرار کرد و شکایت کرد، اما در حالی که هیچ کس از سرخانواده‌اش پادرمیونی نکرد، او هنوز هم عاشق شوهرش است. [sep] خداکنه اینطوربشه [sep],question or answer,Passive
5,[cls] فردی به دیر رسیده و به شخص دیگری گفت که در محل مورد نظر نیست. شخص دوم حمله کرد و به فرد اول آسیب زد. پس از حمله، شخص دوم عذرخواهی کرد و از فرد اول بخشش خواست. [sep] بی محلش کن غذام درس نکن تا گرسنه بمونه ولی خیلی کشش نده خیلیم شل نگیر [sep],conform and adjust,Active
6,[cls] صبح پاشیده، غذا درست کرده و کارهای خود را انجام داده بودم که داداشم زنگ زد و پول برای ثبت نام ماشین خواست. من پول نداریم گفتم، اما او نصف مبلغ را پیش پرداخت کرد و وعده گرفت که بعدا پرداخت کنیم. بعد از دعوا با شوهرم، با مشت به من حمله کرد و من از خانه او را بیرون کردم. دلم خیلی پر است و نمی‌دانم چه کاری باید بکنم. [sep] باشوهرم دعوام شدم ای چندشبه خیلی کتکم زد دیشب از خونه انداختم بیرون بچموبهم نداد دلم خونه، چیکارکنم خدا کمکم نمیکنه چرا مگه بامن لج داره [sep],question or answer,Passive
7,[cls] یک زن به دلیل مشکلات خانوادگی و رابطه ناموفق با شوهرش، احساسات منفی دارد و به دنبال کمک می‌گردد. در یک دعوا شدید با خواهر و مادر شوهرش، خانواده او او را ترک کردند و او احساس وابستگی و تنهایی می‌کند. [sep] دقیقا اوایل داستان زندگیت عین منه منم داغونم ۶ سال دوست بودیم ۱۱ ساله ازدواج کردم. اگه مثل من عاشق زندگی باشیو به امید درست شدن بمدنی و پر غم نابودی من که هزار جور مریضی تو تنم افتاد شوهرمم بهتر نشد بدتر شد اگه بچه نداری به هیچ وجه بچه دار نشو [sep],empathy,Passive
8,[cls] دو نفر درباره ضربه‌ای که یکی از آن‌ها دریافت کرده صحبت می‌کنند. ضربه باعث درد و گیجی شده است. نیاز به راهنمایی برای درمان این موضوع وجود دارد. [sep] اگه شوهرت خوبه که هیچ ولی نباید بذاره خانواده ش ازت بیگاری بکشن [sep],confront and retaliate,Active
9,[cls] یک زوج برای گردش به بیرون رفتند، سپس خانه را تمیز کردند. اما بعد از بازگشت، مرد عصبانی شد و به زن فحش داد. زن نیز به دلیل خبر مرگ دوستش، نتوانست به خوبی کار کند و دعوا شدیدی بین آنها رخ داد. [sep] منم مثل تو. البته جووییدمش [sep],empathy,Passive
10,[cls] یک شخص به دلیل تمرکز بر روی گوشی، ناراحت شده و بعد از دو ماه، به خشم می‌آید و اشیا را می‌شکند. او یک چهره پلاستیکی را به دیوار می‌کوبد و پامش را مجروح می‌کند. شخص دیگری از او ترس دارد و نمی‌داند چه کاری باید بکند. [sep] خودت درستش کن …اینقدر تلاش کن تا نتیجه بده …حقته خوشبخت شی …عموی من زنش خونه دست به سیاه وسفید نمیزنه …این از کار اومد باید ظرفها رابشوره …دستپختش افتضاح …شوهرش با اجازه این پول خرج میکنه …کفشاشو جلوش جفت میکنه.. این اینجوری …اونوقت امثال شماهم اینجور. با این کمالات و جمالات.. باید ستایشت کنه.. دختر به خودت بیا …شوهرت باید درست باهات رفتار کنه …باید یادش بدی …کوتاه هم نیا [sep],conform and adjust,Active
11,[cls] یک زن به دلیل خشونت همسرش شکایت نمی‌کند ولی بعد از ضربه‌های شدید، تصمیم می‌گیرد عکسی از ضربات بگیرد. اما این تصویر باعث پشیمانی او می‌شود و او نمی‌تواند به پلیس شکایت کند. در نهایت، همسرش به شدت او را مورد ضرب و شتم قرار می‌دهد و او را در خانه محبوس می‌کند. [sep] ای وای چرا؟ شرایط جدایی نداری [sep],confront and retaliate,Active
12,[cls] فردی خسته از بازی‌های مسخره کودکانه دیگر صبر ندارد و به دلیل یک شوخی لفظی، یک وسیله را به دست فرد دیگری پرت می‌کند که به دست خودش می‌خورد و از درد ضعف می‌کند. او به عصبانیت آشپزخانه را به هم می‌زند و فرزندانش نیز از او فرار می‌کنند. [sep] مام دعوا کردیم ساعت ۳ نصف شب ۲تا گلدون داشتم از پنجره پرت کرد بیرون [sep],question or answer,Passive
13,[cls] شوهر کتک زده، صورت و لبش خونی شده و ساق پاش کبود شده است. او تهدید می‌کند که اگر شکایت کند، او را می‌کشاند و طلاق نمی‌دهد. او در حال درد می‌میرد و نمی‌داند چه کار کند. [sep] برادر داری؟ [sep],confront and retaliate,Active
14,[cls] دختر دوشش را گرفت و پایین آمد و گریه کرد. پدر به شوهرش گفت که پام درد می‌کند، اما شوهر این را تکذیب کرد. دختر همچنان گریه می‌کرد و پدر ظرف شکسته و کتک خورد. [sep] چقد نفهمه.. بچه چ گناهیی کرده [sep],empathy,Passive
15,[cls] در یک دعوای خانوادگی، زن شوهرش برای آشتی گلی به او هدیه داد، اما زن آن را پرت کرد. شوهر عصبانی شد و به عسلی لگد زد. مادر زن نیز به شوهر دخترش گفت که خانه را نشکند. [sep] خوب دیگ اللن یه طرف زندگیتونم خودتون مشاوره‌اید بهم زیاد محبت کنید بغل کنید همو زندگیتون گلستون میشه من مطمئنم همسرت ادم خوبیه مشکلتون سر چی بوو [sep],conform and adjust,Active
16,[cls] دعوای شدیدی بین دو نفر رخ داد. یکی از آنها بالشت روی صورت دیگری گذاشت و فشار داد. دو نفر هم درد گردن و دماغ داشتند. [sep] برو شکایت کن بگو تعادل روانی نداره میخواسته خفت کنه حتما برو مشاور یه وکیل خوبم بگیر [sep],conform and adjust,Active
